iter	Logloss
0	0.6264055587
1	0.5667286779
2	0.5175478019
3	0.4733148429
4	0.434256306
5	0.404151202
6	0.375517618
7	0.3500768833
8	0.3292692285
9	0.312837949
10	0.2980281804
11	0.282943869
12	0.2692832265
13	0.2577884968
14	0.2472747124
15	0.2384414183
16	0.2303851843
17	0.2232887744
18	0.2183380847
19	0.21392851
20	0.209826084
21	0.2051848874
22	0.2013319564
23	0.1975054438
24	0.194127559
25	0.191023313
26	0.1881818093
27	0.1856445528
28	0.1836737197
29	0.1823168014
30	0.180504405
31	0.1792351814
32	0.1776207465
33	0.1764019986
34	0.1752362065
35	0.1742491635
36	0.1734414784
37	0.1724364815
38	0.1717828067
39	0.1709959614
40	0.1702166534
41	0.1693839482
42	0.1687135507
43	0.1681585829
44	0.167682701
45	0.1671694214
46	0.1667150109
47	0.1663731664
48	0.1659886743
49	0.1655382438
50	0.1651580263
51	0.1649453875
52	0.1647588568
53	0.1644805673
54	0.1642367757
55	0.1640038944
56	0.1637930626
57	0.1636741911
58	0.1634047233
59	0.1632758799
60	0.1631518057
61	0.1630143858
62	0.1628101413
63	0.1625722024
64	0.1625039697
65	0.1623197471
66	0.1621375923
67	0.1620148106
68	0.1619099855
69	0.1616984463
70	0.1615657197
71	0.1614601944
72	0.1612783679
73	0.1611833556
74	0.161129468
75	0.1610274198
76	0.1609111076
77	0.1608221557
78	0.1607447072
79	0.1606633077
80	0.1606145904
81	0.1604989512
82	0.1603899207
83	0.1603116948
84	0.1601834938
85	0.1600702889
86	0.159989858
87	0.1599100426
88	0.1598981165
89	0.1598000304
90	0.1597350421
91	0.1596865504
92	0.1596077916
93	0.1595515571
94	0.1594309567
95	0.1593995191
96	0.1593539591
97	0.1593377121
98	0.1592878247
99	0.1591788904
100	0.1591240928
101	0.159079501
102	0.1589980922
103	0.1589451423
104	0.1589042328
105	0.1588487342
106	0.1588265041
107	0.1587807201
108	0.1587177013
109	0.1585879255
110	0.158530554
111	0.158510508
112	0.1584940424
113	0.1584289706
114	0.1583974543
115	0.1582716062
116	0.1582602232
117	0.1581811883
118	0.1581034614
119	0.1580501682
120	0.1580128757
121	0.1579916594
122	0.1579272476
123	0.1579067197
124	0.1578302643
125	0.1577752678
126	0.1577613163
127	0.1576534157
128	0.1576193047
129	0.1575578765
130	0.1575196321
131	0.1575120191
132	0.1574604358
133	0.1573368557
134	0.1572805671
135	0.1572199767
136	0.1571714557
137	0.1571412068
138	0.1570887324
139	0.157002678
140	0.1569852398
141	0.1569124577
142	0.1568942673
143	0.156841202
144	0.1567933095
145	0.1567488374
146	0.1567235019
147	0.1566696063
148	0.1566491257
149	0.1566074232
150	0.1565493551
151	0.1565221826
152	0.1564975059
153	0.1564622697
154	0.1564425392
155	0.1563877785
156	0.1563626217
157	0.1563390699
158	0.1563345533
159	0.1562804214
160	0.1562556001
161	0.1562269986
162	0.1562219839
163	0.1561411281
164	0.156086661
165	0.1560324971
166	0.1560011821
167	0.1559276021
168	0.1559100788
169	0.1558792536
170	0.1558544862
171	0.1558167385
172	0.1557925434
173	0.1557683364
174	0.1557456134
175	0.1556989143
176	0.1556667259
177	0.1556009568
178	0.1555709398
179	0.1555522489
180	0.1555032101
181	0.1554697562
182	0.1554291542
183	0.1553884892
184	0.1553491982
185	0.1553422584
186	0.1553195474
187	0.1552718353
188	0.155238081
189	0.1552022286
190	0.1551708589
191	0.1551508414
192	0.1550821235
193	0.1550552791
194	0.1550177777
195	0.1549931268
196	0.1549728916
197	0.1549360226
198	0.1549077382
199	0.1548648794
200	0.15480587
201	0.1547889305
202	0.1547774546
203	0.1547447059
204	0.1547023518
205	0.1546694527
206	0.1546133906
207	0.1545553222
208	0.1545252313
209	0.1544900525
210	0.1544563441
211	0.1544137542
212	0.1543912698
213	0.1543511684
214	0.1543304871
215	0.1543124216
216	0.1542893329
217	0.1542677215
218	0.1542084161
219	0.1541843787
220	0.1541420296
221	0.1541201903
222	0.1540878004
223	0.1540469122
224	0.1540224272
225	0.1540108878
226	0.1539813317
227	0.1539642656
228	0.1539165707
229	0.1538624797
230	0.1538244322
231	0.1537989555
232	0.153769136
233	0.1537596146
234	0.1537329401
235	0.1537007766
236	0.1536456193
237	0.1536030862
238	0.1535303715
239	0.1534559539
240	0.1534485696
241	0.1533933789
242	0.153363576
243	0.1533201998
244	0.1532471515
245	0.1532177058
246	0.1531904663
247	0.1531552578
248	0.1531266679
249	0.1530784296
250	0.1530309379
251	0.1530168079
252	0.1529875909
253	0.1529524194
254	0.1529105312
255	0.1528911078
256	0.1528183318
257	0.152784103
258	0.152755895
259	0.1527281796
260	0.1526613797
261	0.1526170537
262	0.1525750134
263	0.1525535219
264	0.1525226798
265	0.1524958918
266	0.1524900664
267	0.1524692718
268	0.1524367449
269	0.1523749404
270	0.1523534171
271	0.152285463
272	0.1522785221
273	0.1522474573
274	0.1522027375
275	0.1521562414
276	0.15210549
277	0.1520726249
278	0.1520151461
279	0.1519835545
280	0.1519400677
281	0.1519058165
282	0.1518918746
283	0.1518552639
284	0.1518330275
285	0.1517972465
286	0.1517608063
287	0.1517021185
288	0.1516936381
289	0.1516483457
290	0.1516171213
291	0.1515676883
292	0.1515332982
293	0.1514825073
294	0.1514453807
295	0.1514031645
296	0.1513825593
297	0.1513705085
298	0.1513558621
299	0.1513390381
300	0.1512512309
301	0.1512051874
302	0.151175442
303	0.1511106651
304	0.1510801181
305	0.1510426705
306	0.1509997405
307	0.1509296358
308	0.1509264265
309	0.1508858327
310	0.150872295
311	0.1508407416
312	0.1507894213
313	0.1507630184
314	0.1507560421
315	0.1507005426
316	0.1506775874
317	0.1506414826
318	0.1505888742
319	0.1505601211
320	0.1505125819
321	0.1504701007
322	0.1504461853
323	0.1504118349
324	0.1503924622
325	0.1503393947
326	0.1503029664
327	0.1502836912
328	0.1502554369
329	0.1502057994
330	0.150179813
331	0.1501325646
332	0.1501014611
333	0.1500926535
334	0.1500496659
335	0.1499725405
336	0.1499482785
337	0.1499129912
338	0.149881092
339	0.1498260607
340	0.1497970261
341	0.1497750048
342	0.1497495993
343	0.1497176951
344	0.1496960207
345	0.1496527171
346	0.1496205348
347	0.1495961298
348	0.1495640371
349	0.149548486
350	0.1495201708
351	0.1494846339
352	0.1494375057
353	0.1494078291
354	0.1493764903
355	0.1493418646
356	0.1493160657
357	0.149295303
358	0.1492697057
359	0.1492401563
360	0.1492033933
361	0.149184161
362	0.149145451
363	0.1491183849
364	0.149089674
365	0.149063029
366	0.1490511547
367	0.1490112541
368	0.1489885263
369	0.1489796945
370	0.1489495339
371	0.1489314353
372	0.1488919314
373	0.1488588102
374	0.1488313052
375	0.1488117262
376	0.148770253
377	0.1487320764
378	0.1487020139
379	0.1486881996
380	0.1486537848
381	0.1486240194
382	0.1485883471
383	0.1485598641
384	0.1485386624
385	0.1485138267
386	0.1484879957
387	0.148441336
388	0.1483813801
389	0.1483639995
390	0.1483292194
391	0.1482904169
392	0.148271575
393	0.1482516284
394	0.1482286004
395	0.1481845176
396	0.1481551644
397	0.1480784991
398	0.1480626202
399	0.1480381126
400	0.148015522
401	0.1479953253
402	0.1479352478
403	0.1479191996
404	0.147862965
405	0.147835451
406	0.1477730607
407	0.1477528012
408	0.1477286661
409	0.1477244636
410	0.1476920773
411	0.1476769189
412	0.1476615026
413	0.147624829
414	0.1475935304
415	0.1475767998
416	0.1475473927
417	0.1475261874
418	0.1474953511
419	0.1474868075
420	0.1474594134
421	0.1474100412
422	0.1473909851
423	0.1473538175
424	0.1473389542
425	0.147305696
426	0.1472856878
427	0.1472579491
428	0.1472193015
429	0.1471895825
430	0.147155425
431	0.1471508835
432	0.1471373309
433	0.1471080125
434	0.1471000012
